RANumb,Text,Label
ra2,"We partner with third party advertising companies to manage our advertising on the InMarket Applications. Because we enable these third parties on the InMarket Applications, we may be considered to have sold data to these third parties over the past 12 months.",Categories of Personal Information Sold
ra2,"1. Sources of Personal Information Collected\n\nInformation from You\n\nYou may provide information manually while using our Services, for example, by typing your name and email address or by using a social profile to register for or update an account in one of the InMarket Applications. Some InMarket Applications invite you to link to your banking or payment card accounts and your retail shopping accounts (such as your online store user account or a store loyalty account). We also collect personal information when you communicate with us for support or any other reason or when you register for a promotion.\n\nInformation from our Services\n\nOur Services may collect personal information through the InMarket Applications, our Third Party Partners’ mobile applications, and our websites. Our Services and our Third Party Partners may also collect data using technology such as cookies, ad tags, and pixels. Web beacons are invisibly embedded electronic images and are about the size of the period at the end of this sentence. We use cookies to store this type of information when we serve ads onto Internet browsers. For more information about cookies and web beacons, please visit: http://www.allaboutcookies.org/cookies/. Some of our partners send us information directly via a “server to server” file instead of using web technologies like cookies, web beacons or pixels. We also collect mobile advertising identifiers (IDFA for Apple devices or AAID for Android devices), third party proprietary identifiers, ad exposure information such as URL, site name, creative, publisher, and channel, precise geolocation information, session information, operating system, internet protocol address (IP address), hashed email address and device model. All of these technologies help us to deliver relevant ads, provide ad measurement and reporting, and to generate market insights.\n\nInformation from Third Party Sources\n\nWe may also collect information about you and your device from third party sources including public databases, social media platforms, data append services, third party marketing partners, data brokers, and others. The information we collect from third party sources may include categories such as demographic information and commercial information. We combine this third party data with the personal information that we have collected.",Categories of Personal Information Collected
ra2,"4. Opt-out of Ad Targeting – Your Choice Mechanisms\n\nInMarket offers consumers the ability to opt-out of our use of your information to serve personalized ads to you across devices, mobile applications, and websites. If you don’t want the information we collect used for the purpose of serving you such personalized ads, we offer a number of choice mechanisms. Please note that none of our choice mechanisms will opt you out of all advertising. You will continue to receive generic ads but they won’t be targeted by us and we will remove opted out browsers or devices from our ad targeting system. Your opt-out choice will be applied only to the browser or device that has opted out.",Description of Right to Limit use of PI
ra2,"6. Sale of Personal Information\n\nAccording to the definitions and terms included in the California Consumer Privacy Act of 2018 and other California state privacy laws and regulations (we collectively call these laws the “CCPA”), in the past 12 months InMarket has sold its Third Party Partners some consumer personal information that falls within these categories:\n\n(a) personal identifiers;\n(b) protected personal information under the California Customer Records statute (Cal. Civ. Code § 1798.80(e));\n(c) protected class characteristics;\n(d) commercial information;\n(e) internet activity information;\n(f) geolocation data/precise geolocation information; and\n(g) inferences drawn from personal information to create a consumer profile.",Categories of Personal Information Sold
ra2,"7. Disclosure of Personal Information\n\nAccording to the definitions and terms included in the CCPA, in the past 12 months, InMarket has disclosed for business purposes some consumer personal information that falls within these categories:\n\n(a) personal identifiers, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services;\n(b) protected personal information under the California Customer Records statute (Cal. Civ. Code § 1798.80(e)), which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; \n(c) protected class characteristics, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services;\n(d) commercial information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; \n(e) internet activity information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; \n(f) precise geolocation information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; activities to improve and enhance InMarket’s services; and \n(g) inferences drawn from personal information to create a consumer profile, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; activities to improve and enhance InMarket’s services.",Categories of Personal Information Shared / Disclosed
ra2,"To submit a request please email us at privacy@inmarket.com, or call us toll-free at 1 (888) 506-4042. We may take additional steps to verify your identity before sharing personal information in response to a request.",Methods to exercise rights
ra2,"CCPA: Right to Delete\nYou have the right to request that we delete your personal information, subject to certain exceptions.",Description of Right to Delete
ra2,"To submit a request to delete your personal information, you may complete this Delete My Personal Information form or email us at privacy@inmarket.com. ",Methods to exercise rights
ra2,"To opt-out, you may complete this Do Not Sell or Share My Personal Information form, click on the “Do Not Sell or Share My Personal Information” link provided on our websites and in our applications, or email us at privacy@inmarket.com. Alternatively, scroll up to the Section of this Privacy Policy entitled “Opt Out of Ad Targeting – Your Choice Mechanisms” for additional opt-out mechanisms you may choose.",Methods to exercise rights
ra2,CCPA: Right to Correct Inaccurate Personal Information\nYou have the right to correct any inaccuracies in your personal information.,Description of Right to Correct Information
ra2,"Please email us at privacy@inmarket.com and indicate you are a California resident who wishes to correct your personal information, and provide a written explanation, together with supporting evidence as applicable, setting out (1) what inaccurate information InMarket possesses, and (2) the corrected version of this information.",Methods to exercise rights
ra2,"If you wish to exercise your rights under the CCPA, please call us toll-free at 1 (888) 506-4042, email your request to privacy@inmarket.com, or complete the relevant form: Business Contacts – Delete My Personal Information or Business Contacts – Opt-Out of Sharing My Personal Information",Methods to exercise rights
ra2,InMarket does not sell such personal information but we may use it for marketing or promotional materials and share it with third parties for this purpose.,Categories of Personal Information Sold
ra2,Right to Nondiscrimination\nWe will not discriminate against you for exercising any of your CCPA rights.,Description of Right to Non-discrimination on exercising rights
ra2,"Effective Date: December 29, 2022",Updated Privacy Policy
ra2,"17. Modifications\n\nWe reserve the right to change this Privacy Policy at any time. If we make any material changes, we will notify you by placing a prominent notice on our website and/or via the InMarket Applications. Any changes will be effective immediately upon the posting of the revised Privacy Policy and your subsequent use of our website, the InMarket Applications, or any third party mobile application that integrates our Services indicates your consent to the Privacy Policy posted at the time of use.",Updated Privacy Policy
ra5,"Effective Date: December 29, 2022",Updated Privacy Policy
ra5,"If you wish to opt out of interest-based advertising from those partners, click here.",Methods to exercise rights
ra5," Sources of Personal Information Collected

Information from You

You may provide information manually while using our Services, for example, by typing your name and email address or by using a social profile to register for or update an account in one of the InMarket Applications. Some InMarket Applications invite you to link to your banking or payment card accounts and your retail shopping accounts (such as your online store user account or a store loyalty account). We also collect personal information when you communicate with us for support or any other reason or when you register for a promotion.",Categories of Personal Information Collected
ra5,"Information from our Services

Our Services may collect personal information through the InMarket Applications, our Third Party Partners’ mobile applications, and our websites. Our Services and our Third Party Partners may also collect data using technology such as cookies, ad tags, and pixels. ",Categories of Personal Information Collected
ra5,We use cookies to store this type of information when we serve ads onto Internet browsers.,Categories of Personal Information Collected
ra5,"Some of our partners send us information directly via a “server to server” file instead of using web technologies like cookies, web beacons or pixels. We also collect mobile advertising identifiers (IDFA for Apple devices or AAID for Android devices), third party proprietary identifiers, ad exposure information such as URL, site name, creative, publisher, and channel, precise geolocation information, session information, operating system, internet protocol address (IP address), hashed email address and device model. All of these technologies help us to deliver relevant ads, provide ad measurement and reporting, and to generate market insights.",Categories of Personal Information Collected
ra5,"Information from Third Party Sources

We may also collect information about you and your device from third party sources including public databases, social media platforms, data append services, third party marketing partners, data brokers, and others. The information we collect from third party sources may include categories such as demographic information and commercial information. We combine this third party data with the personal information that we have collected.",Categories of Personal Information Collected
ra5,"Security. To protect, defend or investigate potential violations of the Terms of Use for our websites, the InMarket Applications, or third party applications that integrate our Services. We may also use such information to protect privacy, security, safety, rights, property, and to prevent fraud. 

Legal Compliance. We may use and disclose personal information that we collect to comply with any applicable law or regulation. We also use the personal information we collect to comply with legal process, including subpoenas and search warrants. ",Description of Right to Delete
ra5,"4. Opt-out of Ad Targeting – Your Choice Mechanisms

InMarket offers consumers the ability to opt-out of our use of your information to serve personalized ads to you across devices, mobile applications, and websites",Description of Right to Opt-out of sale of PI
ra5,"To exercise this opt-out, please visit the privacy settings of your Android or iOS device and select “limit ad tracking” (Apple iOS) or “opt-out of interest based ads” (Android). ",Methods to exercise rights
ra5,You may limit ad tracking on many CTV/OTT devices; your device manufacturer may provide instructions for updating ad tracking settings. The NAI provides additional information on opting out on CTV/OTT devices and instructions for updating privacy preferences of many such devices at Connected TV Choices.,Methods to exercise rights
ra5," InMarket does not collect data through CTV/OTT streaming devices, but some data we collect may be used to target ads on CTV/OTT devices. You may limit ad tracking on many CTV/OTT devices; your device manufacturer may provide instructions for updating ad tracking settings. The NAI provides additional information on opting out on CTV/OTT devices and instructions for updating privacy preferences of many such devices at Connected TV Choices.",Description of Right to Opt-out of sale of PI
ra5,Hashed Personally Identifiable Information. Consumers who wish to opt out of the use of hashed PII for interest-based advertising should visit the Digital Advertising Alliance’s AdChoices token opt-out page to submit a request.,Methods to exercise rights
ra5,"In the CheckPoints mobile application, consumers can earn points redeemable in a rewards program in exchange for various activities such as sharing precise geolocation information (for example, by visiting a retail location), scanning product barcodes in a retail location, sharing purchase records, taking surveys, and sharing personal information such as name and email address",Categories of Personal Information Collected
ra5," Sale of Personal Information

According to the definitions and terms included in the California Consumer Privacy Act of 2018 and other California state privacy laws and regulations (we collectively call these laws the “CCPA”), in the past 12 months InMarket has sold its Third Party Partners some consumer personal information that falls within these categories:

(a) personal identifiers;
(b) protected personal information under the California Customer Records statute (Cal. Civ. Code § 1798.80(e));
(c) protected class characteristics;
(d) commercial information;
(e) internet activity information;
(f) geolocation data/precise geolocation information; and
(g) inferences drawn from personal information to create a consumer profile.",Categories of Personal Information Sold
ra5,"Disclosure of Personal Information

According to the definitions and terms included in the CCPA, in the past 12 months, InMarket has disclosed for business purposes some consumer personal information that falls within these categories:

(a) personal identifiers, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services;
(b) protected personal information under the California Customer Records statute (Cal. Civ. Code § 1798.80(e)), which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; 
(c) protected class characteristics, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services;
(d) commercial information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; 
(e) internet activity information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; and activities to improve and enhance InMarket’s services; 
(f) precise geolocation information, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; detecting security issues; logging and debugging errors; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; activities to improve and enhance InMarket’s services; and 
(g) inferences drawn from personal information to create a consumer profile, which we disclosed to some customers, customers’ vendors, Third Party Partners, and our vendors and service providers for the purpose of auditing compliance with advertising specifications and agreements; performing services for InMarket, including storing records, transaction fulfillment, processing payments, advertising and marketing services, analytics services, and related services; internal research for technological development; activities to improve and enhance InMarket’s services.",Categories of Personal Information Shared / Disclosed
ra5,"Minors and Children\n\nOur Services are intended for general adult audiences and are not intended for children. We do not knowingly collect, store, or sell the personal information of children who are under 16 years of age. If you believe we have collected such information, please contact us immediately at privacy@inmarket.com.",Description of Right to Know PI Collected
ra5,"To submit a request please email us at privacy@inmarket.com, or call us toll-free at 1 (888) 506-4042",Methods to exercise rights
ra5,"CCPA: Right to Delete\nYou have the right to request that we delete your personal information, subject to certain exceptions.",Description of Right to Delete
ra5,"To submit a request to delete your personal information, you may complete this Delete My Personal Information form or email us at privacy@inmarket.com. ",Methods to exercise rights
ra5,"To opt-out, you may complete this Do Not Sell or Share My Personal Information form, click on the “Do Not Sell or Share My Personal Information” link provided on our websites and in our applications, or email us at privacy@inmarket.com. ",Methods to exercise rights
ra5,CCPA: Right to Correct Inaccurate Personal Information\nYou have the right to correct any inaccuracies in your personal information.,Description of Right to Correct Information
