RANumb,Text,Label
ra2,"Last Updated: August 1, 2023",Updated Privacy Policy
ra2,"As further described in the ""Use of Your Information by The Walt Disney Family of Companies"" section in our Privacy Policy, we generally collect and use the above-listed categories of personal information to provide and manage our sites, applications, and services, and for other business or commercial purposes, such as advertising, marketing, and to improve our services.",Categories of Personal Information Collected
ra2,"You may additionally choose to provide the information requested in this opt-out form, which may enable us to take action on your opt-out request more broadly than for a specific digital property.",Methods to exercise rights
ra2,"We collected the following categories of personal information in the last 12 months: identifiers, characteristics of protected classifications and demographic information, commercial information, Internet or other electronic network activity information, geolocation data, audio, electronic, visual or similar information, and inferences drawn from the above.\n\nThe sources of personal information from whom we collected are: directly from our guests, third-party sites or platforms on which you may use your Hulu account, analytics tools, social networks, advertising networks, and third-party services that update or supplement information we hold about you.",Categories of Personal Information Collected
ra2,You also have the right not to receive discriminatory treatment for the exercise of your privacy rights.,Description of Right to Non-discrimination on exercising rights
ra2,"Your Rights: Right to Delete You have the right to request that we delete personal information that we collect from you, subject to applicable legal exceptions. ",Description of Right to Delete
ra2,Your Rights: Right to Correct You have the right to request that we correct inaccurate personal information that we maintain about you.,Description of Right to Correct Information
ra2,"How to Exercise: You can correct some information, such as your contact email, through the account settings on the Hulu website. For all other requests, please email privacy@hulu.com. You can also call our toll-free number at 855-738-6978 to speak with one of our representatives.",Methods to exercise rights
ra2,Your Rights: Right to Opt Out of Sale or Sharing of Personal Information You have the right to “opt out” of the “sale” or “sharing” of your “personal information” to or with “third parties” (as those terms are defined by applicable law).,Description of Right to Opt-out of sale of PI
ra2,"They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",Categories of Personal Information Collected
ra5,"Last Updated: August 1, 2023",Updated Privacy Policy
ra5,"We collect this information so that we can best serve you, including to fulfill your requests and to share offers or information that we think you may be interested in. As further described in the ""Use of Your Information by The Walt Disney Family of Companies"" section in our Privacy Policy, we generally collect and use the above-listed categories of personal information to provide and manage our sites, applications, and services, and for other business or commercial purposes, such as advertising, marketing, and to improve our services.",Categories of Personal Information Collected
ra5,"ADDITIONAL PRIVACY MANDATORY DISCLOSURES\n\nWe also make the following disclosures for purposes of compliance with California privacy law:\n\nWe collected the following categories of personal information in the last 12 months: identifiers, characteristics of protected classifications and demographic information, commercial information, Internet or other electronic network activity information, geolocation data, audio, electronic, visual or similar information, and inferences drawn from the above.\n\nThe sources of personal information from whom we collected are: directly from our guests, third-party sites or platforms on which you may use your Hulu account, analytics tools, social networks, advertising networks, and third-party services that update or supplement information we hold about you.\n\n",Categories of Personal Information Collected
ra5,"We do not ""sell"" or ""share"" the personal information of known minors under 16 years of age.\n\nWe do not use or disclose sensitive personal information for purposes other than those specified in Section 7027(m) of the CCPA regulations.",Categories of Personal Information Shared / Disclosed
ra5,"We do not ""sell"" or ""share"" the personal information of known minors under 16 years of age.\n\n",Categories of Personal Information Sold
ra5, You also have the right not to receive discriminatory treatment for the exercise of your privacy rights.,Description of Right to Non-discrimination on exercising rights
ra5,"Right to Delete\nYou have the right to request that we delete personal information that we collect from you, subject to applicable legal exceptions.",Description of Right to Delete
ra5,Right to Correct\nYou have the right to request that we correct inaccurate personal information that we maintain about you.,Description of Right to Correct Information
ra5,Right to Opt Out of Sale or Sharing of Personal Information\nYou have the right to “opt out” of the “sale” or “sharing” of your “personal information” to or with “third parties” (as those terms are defined by applicable law).,Description of Right to Opt-out of sale of PI
ra5,\nRight to Delete,Methods to exercise rights
ra5,"\nYou have the right to request that we correct inaccurate personal information that we maintain about you.\n\nYou can correct some information, such as your contact email, through the account settings on the Hulu website. For all other requests, please email privacy@hulu.com. You can also call our toll-free number at 855-738-6978 to speak with one of our representatives.",Methods to exercise rights
ra5,"Right to Correct\nYou have the right to request that we correct inaccurate personal information that we maintain about you.\n\nYou can correct some information, such as your contact email, through the account settings on the Hulu website. ",Description of Right to Correct Information
ra5,"Notice of Right to Opt Out of Sale/Sharing\nSome states provide residents (or, in some cases, their authorized agents) with the right to opt out of “targeted advertising,” “selling,” or “sharing” of personal information. You or your legally authorized agent can move the toggle below to the left to opt out of these activities on this digital property consistent with applicable law",Description of Right to Opt-out of sale of PI
ra5,"If you are a registered user of the Hulu services, please also provide the information requested in this opt-out form, which will enable us to associate your opt-out election with your Hulu account and take action on your election more broadly than just on this digital property.",Methods to exercise rights
ra1,"Last Updated: August 1, 2023",Updated Privacy Policy
ra1,"We retain each category of personal information that we collect for as long as necessary to fulfill the purposes described in our Privacy Policy, including to satisfy legal or reporting requirements.",Categories of Personal Information Collected
ra1,"What this means in practice will vary for different types of information, but the criteria assessed in the data retention analysis take into account ongoing business or legal needs for the information, for example in relation to tax, health and safety, and potential or actual disputes or investigations.",Categories of Personal Information Collected
ra1,"We collected the following categories of personal information in the last 12 months: identifiers, characteristics of protected classifications and demographic information, commercial information, Internet or other electronic network activity information, geolocation data, audio, electronic, visual or similar information, and inferences drawn from the above.\n\nThe sources of personal information from whom we collected are: directly from our guests, third-party sites or platforms on which you may use your Hulu account, analytics tools, social networks, advertising networks, and third-party services that update or supplement information we hold about you.",Categories of Personal Information Collected
ra1,Please use this form to make a request as an authorized agent.,Methods to exercise rights
ra1,"To make such a request, please email us at privacy@hulu.com and include a detailed description of the specific content or information you would like to remove.",Methods to exercise rights
ra1,"To make a request for a copy of information regarding our disclosure to third parties for their direct marketing purposes in the preceding calendar year, please email privacy@hulu.com.",Methods to exercise rights
ra1,"ou can correct some information, such as your contact email, through the account settings on the Hulu website. For all other requests, please email privacy@hulu.com. You can also call our toll-free number at 855-738-6978 to speak with one of our representatives.",Methods to exercise rights
ra1,"Right to Delete\nYou have the right to request that we delete personal information that we collect from you, subject to applicable legal exceptions.",Description of Right to Delete
ra1,Right to Correct\nYou have the right to request that we correct inaccurate personal information that we maintain about you.,Description of Right to Correct Information
ra1,Right to Opt Out of Sale or Sharing of Personal Information\nYou have the right to “opt out” of the “sale” or “sharing” of your “personal information” to or with “third parties” (as those terms are defined by applicable law).,Description of Right to Opt-out of sale of PI
ra1,Shine the Light Act\nCalifornia residents may request information regarding Hulu’s disclosure of personal information (such as your name and contact information) to third parties who wish to contact you to send you promotional information about their products and services directly (as compared to when the third party is acting on our behalf or you have provided your personal information as part of a co-promotion by Hulu and the third party).,Description of Right to Know PI sold / shared
ra1,"Your Rights: Right to Delete You have the right to request that we delete personal information that we collect from you, subject to applicable legal exceptions.",Description of Right to Delete
ra1,Your Rights: Right to Correct You have the right to request that we correct inaccurate personal information that we maintain about you.,Description of Right to Correct Information
ra1,Your Rights: Right to Opt Out of Sale or Sharing of Personal Information You have the right to “opt out” of the “sale” or “sharing” of your “personal information” to or with “third parties” (as those terms are defined by applicable law).,Description of Right to Opt-out of sale of PI
ra1,"How to Exercise: You can correct some information, such as your contact email, through the account settings on the Hulu website. For all other requests, please email privacy@hulu.com. You can also call our toll-free number at 855-738-6978 to speak with one of our representatives.",Methods to exercise rights
ra1,How to Exercise: Please use this form to make a request as an authorized agent.,Methods to exercise rights
ra1,Your Rights: Shine the Light Act California residents may request information regarding Hulu’s disclosure of personal information (such as your name and contact information) to third parties who wish to contact you to send you promotional information about their products and services directly (as compared to when the third party is acting on our behalf or you have provided your personal information as part of a co-promotion by Hulu and the third party).,Description of Right to Know PI sold / shared
ra1,"How to Exercise: To make a request for a copy of information regarding our disclosure to third parties for their direct marketing purposes in the preceding calendar year, please email privacy@hulu.com.",Methods to exercise rights
ra1,"Right to Delete You have the right to request that we delete personal information that we collect from you, subject to applicable legal exceptions.",Description of Right to Delete
ra1,Right to Correct You have the right to request that we correct inaccurate personal information that we maintain about you.,Description of Right to Correct Information
ra1,Right to Opt Out of Sale or Sharing of Personal Information You have the right to “opt out” of the “sale” or “sharing” of your “personal information” to or with “third parties” (as those terms are defined by applicable law).,Description of Right to Opt-out of sale of PI
ra1,Shine the Light Act California residents may request information regarding Hulu’s disclosure of personal information (such as your name and contact information) to third parties who wish to contact you to send you promotional information about their products and services directly (as compared to when the third party is acting on our behalf or you have provided your personal information as part of a co-promotion by Hulu and the third party).,Description of Right to Know PI sold / shared
ra1,"You can correct some information, such as your contact email, through the account settings on the Hulu website. For all other requests, please email privacy@hulu.com. You can also call our toll-free number at 855-738-6978 to speak with one of our representatives.",Methods to exercise rights
ra1,Please use this form to make a request as an authorized agent.,Methods to exercise rights
ra1,"To make such a request, please email us at privacy@hulu.com and include a detailed description of the specific content or information you would like to remove.",Methods to exercise rights
ra1,"To make a request for a copy of information regarding our disclosure to third parties for their direct marketing purposes in the preceding calendar year, please email privacy@hulu.com.",Methods to exercise rights
ra1,"Strictly Necessary Cookies\nThese cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",Categories of Personal Information Collected
